code,sector
002492,交通运输
002493,化纤行业
002494,服装鞋类
002495,食品行业
002496,农药化肥
002497,化工行业
002498,发电设备
002499,机械行业
002500,金融行业
002501,有色金属
002503,服装鞋类
002504,电子器件
002505,农林牧渔
002506,电子器件
002507,食品行业
002508,家电行业
002509,机械行业
002510,汽车制造
002511,造纸行业
002512,电子器件
002513,农药化肥
002514,机械行业
002515,食品行业
002516,纺织行业
002517,服装鞋类
002518,仪器仪表
002519,电子信息
002520,机械行业
002521,造纸行业
002522,塑料制品
002523,机械行业
002524,钢铁行业
002526,机械行业
002527,仪器仪表
002528,电子信息
002529,机械行业
002530,机械行业
002531,发电设备
002532,机械行业
002533,发电设备
002534,机械行业
002535,机械行业
002536,汽车制造
002537,机械行业
002538,农药化肥
002539,农药化肥
002540,有色金属
002541,钢铁行业
002542,建筑建材
002543,家电行业
002544,电子信息
002545,钢铁行业
002546,电器行业
002547,电子信息
002548,农林牧渔
002549,环保行业
002550,生物制药
002551,医疗器械
002552,机械行业
002553,机械行业
002554,石油行业
002555,汽车制造
002556,商业百货
002557,食品行业
002558,酒店旅游
002559,机械行业
002560,发电设备
002561,商业百货
002562,化工行业
002563,服装鞋类
002564,机械行业
002565,造纸行业
002566,生物制药
002567,农林牧渔
002568,食品行业
002569,服装鞋类
002570,食品行业
002571,玻璃行业
002572,家具行业
002573,环保行业
002574,服装鞋类
002576,电器行业
002577,电子信息
002578,有色金属
002579,电子器件
002580,电器行业
002581,化工行业
002582,食品行业
002583,电子信息
002584,化工行业
002585,塑料制品
002586,建筑建材
002587,电子器件
002588,农药化肥
002589,商业百货
002590,汽车制造
002591,机械行业
002592,交通运输
002593,汽车制造
002594,汽车制造
002595,机械行业
002596,建筑建材
002597,化工行业
002598,机械行业
002599,印刷包装
002600,电子器件
002601,化工行业
002602,汽车制造
002603,生物制药
002604,食品行业
002606,电器行业
002607,汽车制造
002608,船舶制造
002609,电子信息
002611,机械行业
002612,服装鞋类
002613,机械行业
002614,医疗器械
002615,钢铁行业
002616,环保行业
002617,有色金属
002618,电子器件
002619,水泥行业
002620,建筑建材
002621,机械行业
002622,发电设备
002623,玻璃行业
002624,传媒娱乐
002625,汽车制造
002626,食品行业
002627,交通运输
002628,建筑建材
002629,石油行业
002630,机械行业
002631,家具行业
002632,化工行业
002633,机械行业
002634,服装鞋类
002635,电子信息
002636,电子器件
002637,化工行业
002638,电子器件
002639,机械行业
002640,服装鞋类
002641,塑料制品
002642,电子信息
002643,化工行业
002644,生物制药
002645,机械行业
002646,酿酒行业
002647,电器行业
002648,化工行业
002649,电子信息
002650,食品行业
002651,机械行业
002652,建筑建材
002653,生物制药
002654,电子器件
002655,电子器件
002656,服装鞋类
002657,电子信息
002658,仪器仪表
002659,建筑建材
002660,发电设备
002661,食品行业
002662,汽车制造
